ConsumoKWh, Classificação
107.24,Baixo consumo
357.85,Alto consumo
450.84,Alto consumo
241.38,Médio consumo
412.56,Alto consumo
175.64,Médio consumo
480.65,Alto consumo
134.21,Baixo consumo
265.97,Médio consumo
139.68,Baixo consumo
104.85,Baixo consumo
215.19,Médio consumo
392.11,Alto consumo
141.88,Baixo consumo
480.42,Alto consumo
341.47,Alto consumo
279.42,Médio consumo
496.74,Alto consumo
135.59,Baixo consumo
318.36,Alto consumo
439.34,Alto consumo
212.62,Médio consumo
273.1,Médio consumo
356.72,Alto consumo
50.17,Baixo consumo
339.42,Alto consumo
357.02,Alto consumo
386.66,Alto consumo
59.68,Baixo consumo
444.6,Alto consumo
70.05,Baixo consumo
248.74,Médio consumo
155.04,Médio consumo
110.9,Baixo consumo
77.78,Baixo consumo
115.31,Baixo consumo
265.52,Médio consumo
381.0,Alto consumo
229.98,Médio consumo
305.34,Alto consumo
191.83,Médio consumo
73.16,Baixo consumo
429.16,Alto consumo
247.74,Médio consumo
171.08,Médio consumo
134.26,Baixo consumo
467.34,Alto consumo
152.54,Médio consumo
304.73,Alto consumo
486.54,Alto consumo
290.29,Médio consumo
138.93,Baixo consumo
140.66,Baixo consumo
433.48,Alto consumo
66.45,Baixo consumo
410.5,Alto consumo
377.54,Alto consumo
225.15,Médio consumo
118.75,Baixo consumo
292.26,Médio consumo
446.76,Alto consumo
376.89,Alto consumo
211.25,Médio consumo
257.53,Médio consumo
421.63,Alto consumo
433.78,Alto consumo
425.11,Alto consumo
174.27,Médio consumo
466.23,Alto consumo
275.66,Médio consumo
131.64,Baixo consumo
264.06,Médio consumo
330.7,Alto consumo
328.44,Alto consumo
225.38,Médio consumo
272.29,Médio consumo
430.12,Alto consumo
472.97,Alto consumo
66.59,Baixo consumo
493.38,Alto consumo
299.84,Médio consumo
136.79,Baixo consumo
425.67,Alto consumo
345.8,Alto consumo
242.39,Médio consumo
404.66,Alto consumo
312.79,Alto consumo
376.97,Alto consumo
68.22,Baixo consumo
92.69,Baixo consumo
264.5,Médio consumo
145.54,Baixo consumo
246.01,Médio consumo
178.63,Médio consumo
227.78,Médio consumo
124.66,Baixo consumo
230.37,Médio consumo
473.35,Alto consumo
193.74,Médio consumo
418.04,Alto consumo
433.77,Alto consumo
322.45,Alto consumo
100.29,Baixo consumo
264.31,Médio consumo
336.56,Alto consumo
128.32,Baixo consumo
114.28,Baixo consumo
246.96,Médio consumo
470.79,Alto consumo
327.38,Alto consumo
94.08,Baixo consumo
108.34,Baixo consumo
358.35,Alto consumo
422.03,Alto consumo
495.38,Alto consumo
383.04,Alto consumo
389.19,Alto consumo
65.23,Baixo consumo
238.15,Médio consumo
161.85,Médio consumo
480.32,Alto consumo
290.14,Médio consumo
298.91,Médio consumo
164.69,Médio consumo
401.28,Alto consumo
254.44,Médio consumo
492.53,Alto consumo
78.13,Baixo consumo
115.5,Baixo consumo
364.59,Alto consumo
498.06,Alto consumo
442.53,Alto consumo
198.16,Médio consumo
448.88,Alto consumo
71.39,Baixo consumo
143.12,Baixo consumo
382.58,Alto consumo
482.19,Alto consumo
278.44,Médio consumo
395.43,Alto consumo
374.84,Alto consumo
499.73,Alto consumo
337.42,Alto consumo
149.85,Baixo consumo
499.09,Alto consumo
168.33,Médio consumo
460.11,Alto consumo
439.33,Alto consumo
82.16,Baixo consumo
474.2,Alto consumo
426.45,Alto consumo
456.65,Alto consumo
239.16,Médio consumo
147.13,Baixo consumo
97.16,Baixo consumo
352.62,Alto consumo
215.05,Médio consumo
365.86,Alto consumo
346.02,Alto consumo
106.63,Baixo consumo
209.65,Médio consumo
171.83,Médio consumo
266.76,Médio consumo
86.34,Baixo consumo
268.18,Médio consumo
255.36,Médio consumo
258.64,Médio consumo
225.71,Médio consumo
80.2,Baixo consumo
411.04,Alto consumo
486.24,Alto consumo
84.76,Baixo consumo
474.81,Alto consumo
314.81,Alto consumo
338.89,Alto consumo
92.72,Baixo consumo
77.8,Baixo consumo
414.81,Alto consumo
465.86,Alto consumo
311.19,Alto consumo
213.38,Médio consumo
451.77,Alto consumo
498.04,Alto consumo
268.46,Médio consumo
174.92,Médio consumo
320.78,Alto consumo
164.44,Médio consumo
66.7,Baixo consumo
176.74,Médio consumo
199.37,Médio consumo
499.2,Alto consumo
160.85,Médio consumo
149.04,Baixo consumo
130.91,Baixo consumo
172.25,Médio consumo
458.7,Alto consumo
415.32,Alto consumo
277.93,Médio consumo
294.09,Médio consumo
387.61,Alto consumo
463.99,Alto consumo
50.1,Baixo consumo
252.66,Médio consumo
118.94,Baixo consumo
476.6,Alto consumo
463.58,Alto consumo
406.71,Alto consumo
435.78,Alto consumo
172.6,Médio consumo
335.62,Alto consumo
76.47,Baixo consumo
50.99,Baixo consumo
376.4,Alto consumo
106.07,Baixo consumo
88.52,Baixo consumo
380.38,Alto consumo
100.4,Baixo consumo
69.87,Baixo consumo
361.02,Alto consumo
372.62,Alto consumo
470.39,Alto consumo
61.83,Baixo consumo
88.76,Baixo consumo
334.85,Alto consumo
144.16,Baixo consumo
483.27,Alto consumo
206.92,Médio consumo
267.48,Médio consumo
118.83,Baixo consumo
207.1,Médio consumo
154.37,Médio consumo
241.92,Médio consumo
204.98,Médio consumo
382.23,Alto consumo
458.3,Alto consumo
85.13,Baixo consumo
276.83,Médio consumo
145.99,Baixo consumo
303.67,Alto consumo
90.76,Baixo consumo
431.44,Alto consumo
181.64,Médio consumo
321.52,Alto consumo
93.45,Baixo consumo
205.77,Médio consumo
52.52,Baixo consumo
152.49,Médio consumo
425.95,Alto consumo
141.18,Baixo consumo
175.03,Médio consumo
341.73,Alto consumo
108.06,Baixo consumo
389.44,Alto consumo
393.92,Alto consumo
423.58,Alto consumo
199.58,Médio consumo
343.71,Alto consumo
488.02,Alto consumo
464.9,Alto consumo
313.03,Alto consumo
294.7,Médio consumo
381.44,Alto consumo
210.62,Médio consumo
56.3,Baixo consumo
343.93,Alto consumo
224.99,Médio consumo
52.63,Baixo consumo
481.98,Alto consumo
254.09,Médio consumo
173.24,Médio consumo
204.42,Médio consumo
478.71,Alto consumo
93.46,Baixo consumo
440.64,Alto consumo
163.15,Médio consumo
254.11,Médio consumo
221.01,Médio consumo
409.57,Alto consumo
353.27,Alto consumo
367.48,Alto consumo
63.91,Baixo consumo
404.78,Alto consumo
143.37,Baixo consumo
318.51,Alto consumo
405.15,Alto consumo
386.75,Alto consumo
465.8,Alto consumo
446.96,Alto consumo
80.17,Baixo consumo
366.93,Alto consumo
270.86,Médio consumo
93.41,Baixo consumo
178.03,Médio consumo
291.61,Médio consumo
379.2,Alto consumo
373.76,Alto consumo
257.25,Médio consumo
332.35,Alto consumo
85.29,Baixo consumo
159.48,Médio consumo
433.53,Alto consumo
99.84,Baixo consumo
375.0,Alto consumo
88.29,Baixo consumo
209.72,Médio consumo
200.71,Médio consumo
129.11,Baixo consumo
154.11,Médio consumo
334.63,Alto consumo
383.83,Alto consumo
84.1,Baixo consumo
359.81,Alto consumo
165.14,Médio consumo
492.27,Alto consumo
119.59,Baixo consumo
415.9,Alto consumo
157.8,Médio consumo
276.73,Médio consumo
241.73,Médio consumo
485.34,Alto consumo
496.02,Alto consumo
256.21,Médio consumo
329.13,Alto consumo
297.56,Médio consumo
163.04,Médio consumo
56.91,Baixo consumo
107.15,Baixo consumo
469.42,Alto consumo
173.08,Médio consumo
216.14,Médio consumo
193.23,Médio consumo
449.92,Alto consumo
156.47,Médio consumo
295.14,Médio consumo
322.22,Alto consumo
449.44,Alto consumo
421.04,Alto consumo
430.5,Alto consumo
490.51,Alto consumo
374.92,Alto consumo
169.3,Médio consumo
192.4,Médio consumo
373.77,Alto consumo
85.11,Baixo consumo
115.62,Baixo consumo
293.72,Médio consumo
342.15,Alto consumo
341.7,Alto consumo
341.59,Alto consumo
121.71,Baixo consumo
440.79,Alto consumo
121.08,Baixo consumo
372.51,Alto consumo
64.64,Baixo consumo
240.9,Médio consumo
298.55,Médio consumo
465.93,Alto consumo
286.3,Médio consumo
64.83,Baixo consumo
222.68,Médio consumo
283.44,Médio consumo
415.89,Alto consumo
333.94,Alto consumo
188.67,Médio consumo
433.32,Alto consumo
338.64,Alto consumo
391.08,Alto consumo
88.86,Baixo consumo
184.14,Médio consumo
126.22,Baixo consumo
135.83,Baixo consumo
106.27,Baixo consumo
366.59,Alto consumo
210.25,Médio consumo
218.77,Médio consumo
476.42,Alto consumo
99.35,Baixo consumo
254.25,Médio consumo
84.74,Baixo consumo
430.41,Alto consumo
487.76,Alto consumo
324.9,Alto consumo
119.23,Baixo consumo
190.34,Médio consumo
245.2,Médio consumo
221.84,Médio consumo
411.01,Alto consumo
424.67,Alto consumo
249.22,Médio consumo
68.73,Baixo consumo
257.51,Médio consumo
97.58,Baixo consumo
369.58,Alto consumo
177.77,Médio consumo
141.36,Baixo consumo
193.57,Médio consumo
417.47,Alto consumo
461.71,Alto consumo
59.66,Baixo consumo
249.12,Médio consumo
109.72,Baixo consumo
112.73,Baixo consumo
396.7,Alto consumo
310.3,Alto consumo
207.87,Médio consumo
179.5,Médio consumo
133.35,Baixo consumo
477.35,Alto consumo
159.49,Médio consumo
261.87,Médio consumo
91.08,Baixo consumo
243.08,Médio consumo
461.15,Alto consumo
156.43,Médio consumo
179.86,Médio consumo
60.24,Baixo consumo
53.74,Baixo consumo
453.3,Alto consumo
168.9,Médio consumo
115.49,Baixo consumo
108.38,Baixo consumo
266.56,Médio consumo
379.08,Alto consumo
494.2,Alto consumo
283.62,Médio consumo
302.39,Alto consumo
432.91,Alto consumo
290.2,Médio consumo
356.14,Alto consumo
